,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,5 Day Percent Change,Direction
1,57.240002,57.5,56.700001,56.790001,486200,53.362873,9/20/2017,NFG,NA,NA,,
2,56.66,57.169998,56.240002,56.279999,180200,52.883648,9/21/2017,NFG,-0.008980495,-0.008980489,,
3,56.330002,56.66,55.84,56.610001,282200,53.193733,9/22/2017,NFG,0.005863533,0.005863575,,
4,56.549999,57.73,56.549999,57.509998,404800,54.039421,9/25/2017,NFG,0.015898264,0.015898198,,
5,57.459999,57.57,57.060001,57.099998,304000,53.654163,9/26/2017,NFG,-0.007129203,-0.007129195,0.11%,E
6,57.139999,57.560001,56.419998,57.549999,372300,54.077003,9/27/2017,NFG,0.007880842,0.007880928,0.45%,E
7,57.130001,57.169998,56.610001,57.119999,299200,54.062813,9/28/2017,NFG,-0.000262404,-0.007471764,0.32%,E
8,57,57,56.32,56.610001,293000,53.580109,9/29/2017,NFG,-0.008928577,-0.008928537,-0.17%,E
9,56.59,57.57,56.389999,57.380001,487700,54.308895,10/2/2017,NFG,0.013601801,0.013601837,0.24%,E
10,57.459999,57.5,56.700001,56.889999,522300,53.845119,10/3/2017,NFG,-0.008539596,-0.008539596,-0.09%,E
11,56.919998,57.209999,56.580002,56.950001,604900,53.901913,10/4/2017,NFG,0.001054766,0.001054702,-0.06%,E
12,56.98,57.900002,56.82,57.860001,318500,54.763203,10/5/2017,NFG,0.015978839,0.015978929,0.44%,E
13,57.57,57.66,56.970001,57.389999,461300,54.318359,10/6/2017,NFG,-0.008123046,-0.00812309,0.00%,E
14,57.529999,57.599998,56.830002,57.009998,245400,53.958694,10/9/2017,NFG,-0.006621426,-0.00662138,0.04%,E
15,57.279999,57.52,56.82,57.02,284500,53.968159,10/10/2017,NFG,0.000175412,0.000175443,0.02%,E
16,57.220001,57.419998,56.98,57.080002,321300,54.024956,10/11/2017,NFG,0.001052417,0.001052297,-0.27%,E
17,57.139999,57.82,56.93,57.439999,360300,54.365685,10/12/2017,NFG,0.006306882,0.006306885,0.02%,E
18,57.82,57.950001,57.209999,57.290001,338700,54.223705,10/13/2017,NFG,-0.002611574,-0.002611386,0.10%,E
19,57.16,57.330002,56.130001,56.48,469100,53.457062,10/16/2017,NFG,-0.014138521,-0.01413861,-0.19%,E
20,56.439999,57.970001,56.439999,57.66,391200,54.57391,10/17/2017,NFG,0.020892431,0.020892351,0.20%,E
21,57.490002,57.759998,57.349998,57.619999,199500,54.536045,10/18/2017,NFG,-0.00069383,-0.000693739,0.06%,E
22,57.580002,57.84,57.439999,57.75,173400,54.659088,10/19/2017,NFG,0.002256178,0.002256178,0.16%,E
23,57.669998,57.970001,57.470001,57.619999,261000,54.536045,10/20/2017,NFG,-0.002251099,-0.0022511,0.40%,E
24,57.650002,57.68,57.369999,57.490002,276800,54.413006,10/23/2017,NFG,-0.002256104,-0.002256109,-0.06%,E
25,57.529999,57.779999,57.330002,57.549999,286400,54.469795,10/24/2017,NFG,0.001043666,0.001043608,-0.02%,E
26,57.349998,57.349998,56.509998,57,351400,53.949238,10/25/2017,NFG,-0.009556801,-0.00955689,-0.26%,E
